timestamp,document_no,vendor_no,vendor_invoice_no,status,error
2025-05-19T14:59:04.665042,FCA25000614,FN0000303,FT 202512/143264,SUCCESS,
2025-05-19T15:00:02.498793,FCA25000614,FN0000303,FT 202512/143264,SUCCESS,
2025-05-19T15:00:02.682666,FCA25000615,FN0000021,F6 BB13/1608172531,SUCCESS,
2025-05-19T15:01:00.668320,FCA25000615,FN0000021,F6 BB13/1608172531,SUCCESS,
2025-05-19T15:01:00.806341,FCA25000616,FN0000021,F2 BA24/1960387476,SUCCESS,
2025-05-19T15:01:57.667195,FCA25000616,FN0000021,F2 BA24/1960387476,SUCCESS,
2025-05-19T15:01:57.782607,FCA25000617,FN0000343,FAC 1/10667,SUCCESS,
2025-05-19T15:02:57.315618,FCA25000617,FN0000343,FAC 1/10667,SUCCESS,
2025-05-19T15:02:57.453054,FCA25000618,FN0000343,FAC 1/10667,SUCCESS,
2025-05-19T15:04:00.642329,FCA25000618,FN0000343,FAC 1/10667,SUCCESS,
2025-05-19T15:04:00.794137,FCA25000619,FN0000912,FT V001.03/56443,SUCCESS,
2025-05-19T15:04:53.612090,FCA25000619,FN0000912,FT V001.03/56443,SUCCESS,
2025-05-19T15:04:53.710374,FCA25000620,FN0000072,FT 70/6967553,SUCCESS,
2025-05-19T15:05:47.070890,FCA25000620,FN0000072,FT 70/6967553,SUCCESS,
2025-05-19T15:05:47.193281,FCA25000621,FN0000021,F6 BB13/1608172531,SUCCESS,
2025-05-19T15:06:40.259545,FCA25000621,FN0000021,F6 BB13/1608172531,SUCCESS,
2025-05-19T15:06:40.355845,FCA25000622,FN0000017,CCOD 25L/23277,SUCCESS,
2025-05-19T15:07:32.849500,FCA25000622,FN0000017,CCOD 25L/23277,SUCCESS,
2025-05-19T15:07:32.980164,FCA25000622,FN0000017,CCOD 25L/23277,SUCCESS,
2025-05-19T15:07:33.102793,FCA25000623,FN0000247,FT 32812/00006572,SUCCESS,
2025-05-19T15:08:30.474410,FCA25000623,FN0000247,FT 32812/00006572,SUCCESS,
2025-05-19T15:08:30.654413,FCA25000624,FN0000247,FT 32812/00006597,SUCCESS,
2025-05-19T15:09:25.485393,FCA25000624,FN0000247,FT 32812/00006597,SUCCESS,
2025-05-19T15:09:25.590778,FCA25000625,FN0000617,FT 32891/00004997,SUCCESS,
2025-05-19T15:10:22.403437,FCA25000625,FN0000617,FT 32891/00004997,SUCCESS,
2025-05-19T15:10:22.509628,FCA25000626,FN0000247,FT 33812/00000414,SUCCESS,
2025-05-19T15:11:18.775828,FCA25000626,FN0000247,FT 33812/00000414,SUCCESS,
2025-05-19T15:11:18.879137,FCA25000627,FN0000052,FT 25BSML14/0000393085,SUCCESS,
2025-05-19T15:12:15.375195,FCA25000627,FN0000052,FT 25BSML14/0000393085,SUCCESS,
2025-05-19T15:12:15.489745,FCA25000627,FN0000052,FT 25BSML14/0000393085,SUCCESS,
2025-05-19T15:12:15.610920,FCA25000628,FN0000052,FT 25BSML14/0000393088,SUCCESS,
2025-05-19T15:13:14.119599,FCA25000628,FN0000052,FT 25BSML14/0000393088,SUCCESS,
2025-05-19T15:13:14.246218,FCA25000628,FN0000052,FT 25BSML14/0000393088,SUCCESS,
2025-05-19T15:13:14.369520,FCA25000629,FN0000167,FT 150/000728,SUCCESS,
2025-05-19T15:34:17.545816,,,FR - Mai25 - Antas da Cunha.pdf,FAILURE,No QR code found
2025-05-19T15:34:27.961851,,,Skillsworkflow 108.pdf,FAILURE,No QR code found
2025-05-19T15:34:30.718223,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160157.pdf,FAILURE,No QR code found
2025-05-19T15:34:31.017971,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160368.pdf,FAILURE,No QR code found
2025-05-19T15:34:31.350233,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160432.pdf,FAILURE,No QR code found
2025-05-19T15:34:31.645243,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160455.pdf,FAILURE,No QR code found
2025-05-19T15:34:31.944856,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160513.pdf,FAILURE,No QR code found
2025-05-19T15:34:32.252832,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160535.pdf,FAILURE,No QR code found
2025-05-19T15:34:47.615113,,,CONTRATO 0-014 DELL TECHNOLOGIES.pdf,FAILURE,No QR code found
2025-05-19T15:35:54.487921,FCA25000630,FN0000931,ZF17 B4P9/4190145486,SUCCESS,
2025-05-19T15:43:30.007506,,,FR - Mai25 - Antas da Cunha.pdf,FAILURE,No QR code found
2025-05-19T15:43:40.085949,,,Skillsworkflow 108.pdf,FAILURE,No QR code found
2025-05-19T15:43:42.432598,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160157.pdf,FAILURE,No QR code found
2025-05-19T15:43:42.722664,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160368.pdf,FAILURE,No QR code found
2025-05-19T15:43:43.001013,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160432.pdf,FAILURE,No QR code found
2025-05-19T15:43:43.273647,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160455.pdf,FAILURE,No QR code found
2025-05-19T15:43:43.551523,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160513.pdf,FAILURE,No QR code found
2025-05-19T15:43:43.837267,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160535.pdf,FAILURE,No QR code found
2025-05-19T15:43:54.857460,,,CONTRATO 0-014 DELL TECHNOLOGIES.pdf,FAILURE,No QR code found
2025-05-19T15:50:45.754642,,,FR - Mai25 - Antas da Cunha.pdf,X,No QR code found
2025-05-19T15:50:55.877318,,,Skillsworkflow 108.pdf,X,No QR code found
2025-05-19T15:50:58.383720,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160157.pdf,X,No QR code found
2025-05-19T15:50:58.665128,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160368.pdf,X,No QR code found
2025-05-19T15:50:58.979894,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160432.pdf,X,No QR code found
